Chapter,Verse,Meaning,label,clean_teks
78,1,Tentang apakah mereka saling bertanya-tanya?,lainnya,apakah saling tanya tanya
78,2,Tentang berita yang besar (hari berbangkit),kiamat,berita besar hari bangkit
78,3,yang dalam hal itu mereka berselisih.,lainnya,dalam itu selisih
78,4,"Sekali-kali tidak; kelak mereka akan mengetahui,",lainnya,sekali kali kelak akan tahu
78,5,kemudian sekali-kali tidak; kelak mereka mengetahui.,lainnya,kemudian sekali kali kelak tahu
78,6,"Bukankah Kami telah menjadikan bumi itu sebagai hamparan?,",lainnya,bukankah telah jadi bumi bagai hampar
78,7,"dan gunung-gunung sebagai pasak?,",lainnya,gunung gunung bagai pasak
78,8,"dan Kami jadikan kamu berpasang-pasangan,",lainnya,kami jadi kamu pasang pasang
78,9,"dan Kami jadikan tidurmu untuk istirahat,",lainnya,kami jadi tidur istirahat
78,10,"dan Kami jadikan malam sebagai pakaian,",lainnya,kami jadi malam bagai pakai
78,11,"dan Kami jadikan siang untuk mencari penghidupan,",lainnya,kami jadi siang cari hidup
78,12,"dan Kami bina di atas kamu tujuh buah (langit) yang kokoh,",lainnya,kami bina atas kamu tujuh buah langit kokoh
78,13,"dan Kami jadikan pelita yang amat terang (matahari),",lainnya,kami jadi pelita amat terang matahari
78,14,"dan Kami turunkan dari awan air yang banyak tercurah,",lainnya,kami turun awan air banyak curah
78,15,"supaya Kami tumbuhkan dengan air itu biji-bijian dan tumbuh-tumbuhan,",surga,kami tumbuh air biji biji tumbuh tumbuh
78,16,dan kebun-kebun yang lebat?,surga,kebun kebun lebat
78,17,"Sesungguhnya Hari Keputusan adalah suatu waktu yang ditetapkan,",kiamat,sungguh hari putus suatu waktu tetap
78,18,"yaitu hari (yang pada waktu itu) ditiup sangkakala lalu kamu datang berkelompok-kelompok,",kiamat,hari pada waktu tiup sangkakala lalu kamu datang kelompok kelompok
78,19,"dan dibukalah langit, maka terdapatlah beberapa pintu,",kiamat,buka langit dapat beberapa pintu
78,20,dan dijalankanlah gunung-gunung maka menjadi fatamorgana.,lainnya,jalan gunung gunung jadi fatamorgana
78,21,"Sesungguhnya neraka Jahannam itu (padanya) ada tempat pengintai,",neraka,sungguh neraka jahannam pada tempat intai
78,22,"menjadi tempat kembali bagi orang-orang yang melampaui batas,",neraka,jadi tempat bagi orang orang lampau batas
78,23,"mereka tinggal di dalamnya berabad-abad lamanya,",neraka,tinggal dalam abad abad lama
78,24,"mereka tidak merasakan kesejukan di dalamnya dan tidak (pula mendapat) minuman,",neraka,tidak rasa sejuk dalam tidak dapat minum
78,25,"selain air yang mendidih dan nanah,",neraka,air didih nanah
78,26,sebagai pambalasan yang setimpal.,neraka,bagai pambalasan timpal
78,27,"Sesungguhnya mereka tidak berharap (takut) kepada hisab,",hisab,sungguh tidak harap takut hisab
78,28,dan mereka mendustakan ayat-ayat Kami dengan sesungguh-sungguhnya.,lainnya,mereka dusta ayat ayat dengan sungguh sungguh
78,29,Dan segala sesuatu telah Kami catat dalam suatu kitab.,hisab,segala telah catat suatu kitab
78,30,Karena itu rasakanlah. Dan Kami sekali-kali tidak akan menambah kepada kamu selain daripada azab.,neraka,itu rasa kami sekali kali akan tambah kamu daripada azab
78,31,"Sesungguhnya orang-orang yang bertakwa mendapat kemenangan,",surga,sungguh orang orang takwa menang
78,32,"(yaitu) kebun-kebun dan buah anggur,",surga,kebun kebun buah anggur
78,33,"dan gadis-gadis remaja yang sebaya,",surga,gadis gadis remaja baya
78,34,dan gelas-gelas yang penuh (berisi minuman).,surga,gelas gelas penuh isi minum
78,35,Di dalamnya mereka tidak mendengar perkataan yang sia-sia dan tidak (pula) perkataan dusta.,surga,dalam tidak dengar kata sia sia tidak kata dusta
78,36,"Sebagai pembalasan dari Tuhanmu dan pemberian yang cukup banyak,",surga,bagai balas tuhan beri cukup banyak
78,37,Tuhan Yang memelihara langit dan bumi dan apa yang ada di antara keduanya; Yang Maha Pemurah. Mereka tidak dapat berbicara dengan Dia.,lainnya,tuhan pelihara langit bumi apa ada antara yang maha murah tidak bicara dia
78,38,"Pada hari, ketika ruh dan para malaikat berdiri bershaf-shaf, mereka tidak berkata-kata, kecuali siapa yang telah diberi izin kepadanya oleh Tuhan Yang Maha Pemurah; dan ia mengucapkan kata yang benar.",hisab,hari ruh para malaikat diri bershaf shaf tidak kata kata siapa telah beri izin oleh tuhan maha murah ia ucap kata benar
78,39,"Itulah hari yang pasti terjadi. Maka barangsiapa yang menghendaki, niscaya ia menempuh jalan kembali kepada Tuhannya.",hisab,hari pasti jadi barangsiapa hendak niscaya tempuh jalan kepada tuhan
78,40,"Sesungguhnya Kami telah memperingatkan kepadamu (hai orang kafir) siksa yang dekat, pada hari manusia melihat apa yang telah diperbuat oleh kedua tangannya; dan orang kafir berkata: ""Alangkah baiknya sekiranya aku dahulu adalah tanah"".",hisab,sungguh telah ingat hai orang kafir siksa dekat hari manusia lihat apa telah buat dua tangan orang kafir kata alangkah baik sekira aku adalah tanah
79,1,"Demi (malaikat-malaikat) yang mencabut (nyawa) dengan keras,",kiamat,malaikat malaikat cabut nyawa keras
79,2,"dan (malaikat-malaikat) yang mencabut (nyawa) dengan lemah-lembut,",kiamat,malaikat malaikat cabut nyawa lemah lembut
79,3,"dan (malaikat-malaikat) yang turun dari langit dengan cepat,",kiamat,malaikat malaikat turun langit cepat
79,4,"dan (malaikat-malaikat) yang mendahului dengan kencang,",kiamat,malaikat malaikat dahulu kencang
79,5,dan (malaikat-malaikat) yang mengatur urusan (dunia).,kiamat,malaikat malaikat atur urus dunia
