Teks,label,clean
"[PROMO] Beli paket Flash mulai 1GB di MY TELKOMSEL APP dpt EXTRA kuota 2GB 4G LTE dan EXTRA nelpon hingga 100mnt/1hr. Buruan, cek  di tsel.me/mytsel1 S&K",promo,promo beli paket flash mulai gb my telkomsel app dpt extra kuota gb g lte extra nelpon hingga mnt hr buru cek tsel me mytsel s k
2.5 GB/30 hari hanya Rp 35 Ribu Spesial buat Anda yang terpilih. Aktifkan sekarang juga di *550*905#. Promo sd 30 Nov 2015.Buruan aktifkan sekarang. S&K,promo,gb hari rp ribu spesial buat yang pilih aktif sekarang di promo sd nov buru aktif sekarang s k
"2016-07-08 11:47:11.Plg Yth, sisa kuota Flash Anda 478KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",promo,plg yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel utk cek kuota beli paket flash hub
"2016-08-07 11:29:47.Plg Yth, sisa kuota Flash Anda 7160KB. Download MyTelkomsel apps di http://tsel.me/tsel utk cek kuota&beli paket Flash atau hub *363#",promo,plg yth sisa kuota flash kb download mytelkomsel apps http tsel me tsel utk cek kuota beli paket flash hub
4.5GB/30 hari hanya Rp 55 Ribu Spesial buat anda yang terpilih. Aktifkan sekarang juga di *550*907# Buruan..! SKB,promo,gb hari rp ribu spesial buat yang pilih aktif sekarang di buru skb
5 HARI LAGI ! EKSTRA Pulsa 50rb dg beli paket internet bulanan di MyTelkomsel utk pembelian pertama sjk 25Aug-25Sept. Cek detail promo di tsel.me/mytsel1,promo,hari ekstra pulsa rb dg beli paket internet bulan mytelkomsel utk beli pertama sjk aug sept cek detail promo tsel me mytsel
"Ada iRing dgn tarif Rp. 0,1/7hr (perpanjangan Rp. 3190/7hr) dari hits Armada - Pencuri Hati. Tekan *808*3*1*4*1# lalu OK/Call. Info: 100&111",promo,iring dgn tarif rp hr panjang rp hr hits armada curi hati tekan lalu call info
Akhir bulan harus tetap eksis loh! Internetan pake volume ultima 900MB/30hr. Hrga mulai Rp 35rb di *100*471#. Tarif&lokasi cek di tsel.me/fl,promo,akhir bulan tetap eks loh internetan pake volume ultima mb hr hrga mulai rp rb tarif lokasi cek tsel me fl
"Aktifkan iRing Coboy Jr - Terhebat. Tekan *808*7#. Info: 100&111 Ada hits terbaru dari NOAH - Jika Engkau. Aktifkan iRing nya di HP kamu. Ketik MG NOAH02 kirim ke 808 Info: 100&111 Berkah iRing Rp 1000 dr Yuni Shara - Akhirnya. Aktifkan iRing nya, Tkn *808*1*2*3# lalu Ok/Call. Raih THR PuluhanJt!. Berhenti: Unreg ke 808",promo,aktif iring coboy jr hebat tekan info hits baru noah engkau aktif iring nya hp kamu ketik mg noah kirim info berkah iring rp dr yuni shara akhir aktif iring nya tkn lalu call raih thr puluhanjt henti unreg
Ambil bonus harianmu di *600# (Bebas Pulsa). Dptkan gratis nelpon atau internetan dan promo lainnya sesuai hobimu!,promo,ambil bonus hari bebas pulsa dptkan gratis nelpon internetan promo sesuai hobi
Anda akan berhenti berlangganan Paket Flash. Ketik FLASH<spasi>YA jika setuju. Tunggu SMS konfirmasi penonaktifan Paket Anda,promo,akan henti langgan paket flash ketik flash spasi jika tuju tunggu sms konfirmasi nonaktif paket
Anda akan berlangganan paket Rp. 10000 utk 150 MB 2G/3G + 250 MB 3G/90hari. Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan. Paket diperpanjang pada akhir masa aktif dengan tarif sesuai lokasi Anda. Tunggu SMS konfirmasi sblm pemakaian. Info zona dan detail tarif lihat di Tsel.me/internet,promo,akan langgan paket rp utk mb g g mb g hari tuju balas flash spasi kirim utk lanjut paket panjang akhir masa aktif tarif sesuai lokasi tunggu sms konfirmasi sblm pakai info zona detail tarif lihat tsel me internet
"Anda akan membeli Paket Gampang Internetan Rp.1250 utk Chatting Sepuasnya (BBM, WhatsApp dan Line)/1 hari.Jika setuju balas FLASH<spasi>YA kirim ke 3636 utk melanjutkan.Tunggu SMS konfirmasi sblm pemakaian.Info detail tariff lihat di Tsel.me/internet ",promo,akan beli paket gampang internetan rp utk chatting puas bbm whatsapp line hari tuju balas flash spasi kirim utk lanjut tunggu sms konfirmasi sblm pakai info detail tariff lihat tsel me internet
"Anda akan menerima setting ponsel, agar ponsel Anda dapat mengakses internet dan berkirim foto/MMS. Jika Anda setuju balas pesan ini (gratis) dengan ketik Y.",promo,akan terima setting ponsel ponsel dapat akses internet kirim foto mms anda tuju balas pesan gratis ketik y
Anda akan mengaktifkan Paket BBM Gratis berlaku 30 hari dari pertama kali aktivasi. Ketik FLASH (spasi) YA untuk melanjutkan,promo,akan aktif paket bbm gratis laku hari pertama kali aktivasi ketik flash spasi untuk lanjut
